customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
RB50392,Washington,U,Master,588174,0,1000,0,Personal Auto,Four-Door Car,2
QZ44356,Arizona,F,Bachelor,697953,0,94,0,Personal Auto,Four-Door Car,1131
AI49188,Nevada,F,Bachelor,1288743,48767,108,0,Personal Auto,Two-Door Car,566
WW63253,California,M,Bachelor,764586,0,106,0,Corporate Auto,SUV,529
GA49547,Washington,M,High School or Below,536307,36357,68,0,Personal Auto,Four-Door Car,17
OC83172,Oregon,F,Bachelor,825629,62902,69,0,Personal Auto,Two-Door Car,159
XZ87318,Oregon,F,College,538089,55350,67,0,Corporate Auto,Four-Door Car,321
CF85061,Arizona,M,Master,721610,0,101,0,Corporate Auto,Four-Door Car,363
DY87989,Oregon,M,Bachelor,2412750,14072,71,0,Corporate Auto,Four-Door Car,511
BQ94931,Oregon,F,College,738817,28812,93,0,Special Auto,Four-Door Car,425
SX51350,California,M,College,473899,0,67,0,Personal Auto,Four-Door Car,482
VQ65197,California,U,College,819719,0,110,0,Personal Auto,SUV,528
DP39365,California,U,Master,879879,77026,110,2,Corporate Auto,Four-Door Car,472
SJ95423,Arizona,U,High School or Below,881901,99845,110,1,Corporate Auto,SUV,528
IL66569,California,U,College,538443,83689,70,2,Corporate Auto,Four-Door Car,307
BW63560,Oregon,U,Bachelor,746313,24599,64,1,Corporate Auto,Four-Door Car,42
FV94802,Nevada,U,High School or Below,256686,25049,67,0,Personal Auto,Two-Door Car,454
OE15005,California,U,College,394524,28855,101,0,Personal Auto,SUV,647
WC83389,Oregon,U,College,571033,51148,72,0,Personal Auto,Four-Door Car,308
FL50705,California,U,High School or Below,816261,66140,101,0,Corporate Auto,Four-Door Car,484
ZK25313,Oregon,U,High School or Below,287205,57749,74,0,Personal Auto,Two-Door Car,355
QK46697,Washington,M,Bachelor,617710,61040,79,1,Personal Auto,Two-Door Car,20
YH23384,Arizona,U,Bachelor,2412750,14072,71,0,Personal Auto,Four-Door Car,511
TZ98966,Nevada,U,Bachelor,245019,0,73,3,Corporate Auto,Four-Door Car,554
HM55802,California,U,Bachelor,239210,17870,61,0,Corporate Auto,Four-Door Car,439
FS42516,Oregon,U,College,580206,97541,72,0,Personal Auto,Four-Door Car,389
US89481,California,U,Bachelor,394637,0,111,0,Personal Auto,Four-Door Car,799
HS14476,Washington,M,College,916206,29723,80,0,Personal Auto,Four-Door Car,20
GE62437,Arizona,U,College,1290256,86584,111,2,Personal Auto,Four-Door Car,532
EJ77678,Oregon,U,Master,323536,75690,80,1,Personal Auto,Four-Door Car,384
SV85652,Arizona,U,College,245458,23158,63,1,Personal Auto,Four-Door Car,322
UL64533,Nevada,U,High School or Below,1897545,65999,237,0,Corporate Auto,Luxury,615
PF41800,California,U,Bachelor,471532,0,65,0,Personal Auto,Four-Door Car,308
HD95276,Washington,F,College,473787,0,130,0,Personal Auto,SUV,23
SK67821,Oregon,U,Bachelor,493291,37260,62,0,Corporate Auto,Four-Door Car,15
YV55495,Arizona,U,High School or Below,574422,68987,71,0,Personal Auto,Four-Door Car,204
KY38074,California,U,Bachelor,1389173,42305,117,0,Personal Auto,Four-Door Car,561
DM79012,Oregon,U,Master,738097,65706,91,0,Personal Auto,Four-Door Car,436
CM61827,Oregon,U,Bachelor,309003,0,90,0,Personal Auto,Two-Door Car,648
WC35801,Arizona,U,High School or Below,252163,53243,66,2,Personal Auto,Four-Door Car,157
QG25316,Nevada,U,High School or Below,265206,0,70,1,Corporate Auto,Two-Door Car,484
MB98372,Oregon,U,College,277104,50071,71,0,Corporate Auto,Two-Door Car,18
IL19217,California,U,Bachelor,393900,60021,99,0,Personal Auto,Four-Door Car,882
SR38658,Arizona,U,High School or Below,1223187,43244,103,0,Personal Auto,Luxury,494
YD87931,Washington,M,Doctor,495165,46896,35354,1,Personal Auto,Four-Door Car,31
HG65722,Oregon,U,Doctor,1281910,10105,172,3,Personal Auto,SUV,0
BU27331,Arizona,U,Bachelor,446851,0,73,3,Personal Auto,Four-Door Car,579
XM45289,Oregon,U,High School or Below,551434,23218,71,0,Personal Auto,Two-Door Car,447
KP34198,California,U,Bachelor,334387,0,92,0,Corporate Auto,Four-Door Car,529
SH90947,Arizona,U,High School or Below,229447,0,62,0,Personal Auto,Four-Door Car,313
WE95729,Oregon,U,College,3670742,24804,104,0,Personal Auto,SUV,593
PY51963,California,U,Bachelor,3347334,33190,106,0,Corporate Auto,SUV,508
RB69909,Nevada,U,High School or Below,798343,36014,69,3,Special Auto,Four-Door Car,173
NW21079,Washington,F,Master,487938,67163,61,2,Personal Auto,Two-Door Car,33
FR46645,California,U,Bachelor,429399,16701,113,0,Personal Auto,Four-Door Car,831
SY17488,Arizona,U,College,716439,46623,91,0,Corporate Auto,Four-Door Car,436
AP67935,California,U,College,761951,64749,64,0,Special Auto,Four-Door Car,302
FS37417,Arizona,U,High School or Below,395800,0,101,0,Personal Auto,SUV,484
ML29312,Oregon,U,High School or Below,449949,16969,124,2,Personal Auto,SUV,704
UB61619,Oregon,U,Master,405956,11621,108,0,Personal Auto,Four-Door Car,518
CD86811,Arizona,U,Bachelor,445811,17622,65,1,Personal Auto,Four-Door Car,312
RU83859,California,U,Bachelor,811033,11489,105,0,Personal Auto,Two-Door Car,504
FG63582,Oregon,U,Bachelor,333976,0,94,0,Personal Auto,Two-Door Car,863
NN71951,California,U,High School or Below,2426101,66525,100,0,Personal Auto,SUV,104
WB37082,Arizona,U,Bachelor,661397,0,63,0,Personal Auto,Four-Door Car,676
SM52139,Washington,U,College,293069,33663,73,0,Personal Auto,Four-Door Car,350
FL82372,Oregon,U,College,867219,22547,112,0,Corporate Auto,SUV,537
DP45816,Arizona,U,High School or Below,1163866,61486,97,0,Personal Auto,Two-Door Car,465
GW33762,Oregon,U,Bachelor,684615,0,95,0,Personal Auto,Two-Door Car,456
RZ33670,California,U,College,1172777,29879,102,0,Personal Auto,Four-Door Car,500
PY70169,Oregon,U,High School or Below,2264383,93011,113,0,Personal Auto,SUV,281
MO91628,Oregon,U,Master,261447,65186,65,0,Personal Auto,Two-Door Car,5
HW87852,Oregon,U,Master,245175,26840,64,2,Personal Auto,Four-Door Car,307
HB20453,Oregon,U,Bachelor,678127,0,104,1,Personal Auto,Luxury,982
BN87372,Oregon,U,Bachelor,497480,75644,65,3,Personal Auto,Two-Door Car,467
YX23800,Oregon,U,Bachelor,859160,38984,73,0,Personal Auto,Four-Door Car,350
DZ87709,Oregon,U,High School or Below,559216,71811,71,0,Personal Auto,Four-Door Car,29
XW13033,Nevada,U,College,800947,20961,67,0,Personal Auto,Four-Door Car,321
SP81997,Washington,F,Master,588174,41275,96,0,Personal Auto,Four-Door Car,41
OM82309,California,U,Bachelor,5816655,61321,186,1,Personal Auto,Luxury,427
ZU35962,California,U,College,802522,0,77,0,Personal Auto,Two-Door Car,25
VH85817,California,U,High School or Below,578018,51066,74,0,Personal Auto,Four-Door Car,787
DT85712,California,U,Doctor,411853,34378,102,0,Personal Auto,SUV,489
YJ88573,Nevada,U,Master,252307,43072,63,0,Personal Auto,Four-Door Car,302
SQ19467,Oregon,U,College,655421,25222,90,0,Personal Auto,Four-Door Car,475
YB66933,Washington,F,Bachelor,538275,77552,68,1,Corporate Auto,Four-Door Car,45
ET79815,California,U,College,592672,23091,96,5,Personal Auto,Four-Door Car,460
QC35222,California,U,Bachelor,268347,48269,69,3,Corporate Auto,Four-Door Car,282
CJ15590,Oregon,U,Bachelor,269518,32720,67,0,Personal Auto,Four-Door Car,321
OI48267,California,U,College,604702,20396,76,1,Personal Auto,Four-Door Car,364
JY67916,Oregon,U,College,1317101,21513,119,1,Personal Auto,Two-Door Car,679
OW15518,Washington,F,College,1595001,0,87,1,Personal Auto,Two-Door Car,46
CZ33664,Oregon,U,Bachelor,252765,80744,63,0,Corporate Auto,Four-Door Car,11
WK30175,Oregon,U,Bachelor,267209,52822,67,0,Corporate Auto,Two-Door Car,350
ON44465,California,U,High School or Below,531329,0,77,1,Personal Auto,Four-Door Car,863
TV87155,Oregon,U,Bachelor,2094619,69738,74,1,Personal Auto,Four-Door Car,492
KH48895,Arizona,U,Master,837535,17780,109,0,Personal Auto,SUV,132
NZ30757,California,U,Bachelor,480166,18107,62,0,Personal Auto,Four-Door Car,297
RI22468,Arizona,U,Bachelor,574594,57740,74,3,Personal Auto,Four-Door Car,269
FZ30935,Oregon,U,College,606611,32627,76,0,Personal Auto,Two-Door Car,380
UG93476,California,U,College,800230,0,107,0,Personal Auto,SUV,513
AB96670,California,U,College,239391,0,70,0,Personal Auto,Four-Door Car,425
XK64261,Oregon,U,Bachelor,476281,65795,62,1,Corporate Auto,Two-Door Car,49
EV68375,California,U,College,433038,60475,107,0,Personal Auto,Four-Door Car,513
UN51653,California,U,High School or Below,940272,0,130,0,Personal Auto,SUV,936
TO96662,Oregon,U,Bachelor,696669,41837,88,0,Personal Auto,Four-Door Car,142
MR52087,California,U,Bachelor,769406,32303,65,0,Personal Auto,Four-Door Car,45
DE75225,Oregon,U,High School or Below,871756,0,117,1,Personal Auto,SUV,561
EP80820,California,U,Bachelor,592874,40531,74,0,Personal Auto,Two-Door Car,30
GU99037,Oregon,U,College,245297,79898,62,1,Corporate Auto,Four-Door Car,271
WI57118,California,U,College,670157,56398,85,0,Personal Auto,Four-Door Car,408
GP39118,Washington,M,High School or Below,499655,71600,63,0,Personal Auto,Two-Door Car,46
MQ14219,Arizona,U,College,849269,27804,109,0,Personal Auto,SUV,784
KN20603,Oregon,U,Bachelor,771349,45506,66,2,Personal Auto,Four-Door Car,316
SG20925,Washington,F,Master,518579,99428,6464,1,Personal Auto,Four-Door Car,48
JI70886,California,U,High School or Below,729006,0,102,1,Corporate Auto,SUV,489
VF72557,Oregon,U,High School or Below,477294,20993,133,0,Personal Auto,SUV,638
OX28638,Arizona,U,High School or Below,680649,37839,86,0,Personal Auto,Two-Door Car,465
SK55033,California,U,Bachelor,246978,92711,62,0,Personal Auto,Two-Door Car,368
OO88645,California,U,College,310392,74665,78,2,Corporate Auto,Four-Door Car,236
FM14335,Washington,F,College,1048491,61108,89,0,Personal Auto,Four-Door Car,49
CW82151,California,U,Bachelor,890273,46833,112,0,Personal Auto,Luxury,64
DY22043,Oregon,U,High School or Below,549944,88768,68,0,Personal Auto,Two-Door Car,326
SH36774,California,U,High School or Below,1502359,28262,192,0,Personal Auto,Luxury,921
EM43724,Nevada,U,Bachelor,250910,33555,63,0,Personal Auto,Four-Door Car,101
FH85960,Oregon,U,College,3122174,42780,113,1,Personal Auto,Four-Door Car,542
XA55993,Oregon,U,Master,313350,58850,78,0,Personal Auto,Four-Door Car,143
GO36627,Arizona,U,College,383745,21880,97,0,Special Auto,Four-Door Car,424
QH48047,Oregon,U,College,1179049,25251,66,0,Personal Auto,Four-Door Car,316
HS28694,Washington,F,High School or Below,282986,25317,71,0,Personal Auto,Two-Door Car,50
UH65059,Arizona,U,High School or Below,430580,24188,109,0,Personal Auto,Luxury,523
FV21968,Nevada,U,Bachelor,597397,41611,74,0,Special Auto,Four-Door Car,113
QA87025,Oregon,U,Bachelor,567044,28406,72,1,Personal Auto,Four-Door Car,192
TQ13499,Arizona,U,College,473174,69833,118,0,Personal Auto,Four-Door Car,828
BU44523,Arizona,U,High School or Below,802637,0,74,0,Corporate Auto,Four-Door Car,532
MS41162,Arizona,U,High School or Below,402296,0,117,0,Personal Auto,SUV,975
PU25891,Oregon,U,High School or Below,961831,80536,119,0,Special Auto,Luxury,53
LH92841,Washington,F,Bachelor,725595,88891,89,0,Personal Auto,Four-Door Car,50
SX26335,Oregon,U,College,955292,97732,79,0,Personal Auto,Four-Door Car,289
AZ95587,Arizona,F,Bachelor,1038855,61222,89,0,Special Auto,Four-Door Car,392
DS81757,Oregon,M,College,247012,0,74,0,Personal Auto,Two-Door Car,721
OJ94107,Arizona,M,Master,561906,50335,140,0,Personal Auto,SUV,456
LP84436,California,F,High School or Below,904711,0,127,0,Personal Auto,Luxury,1087
FF22360,Washington,F,Doctor,268731,82210,68,4,Personal Auto,Four-Door Car,51
LM19287,Oregon,F,High School or Below,373150,0,96,0,Personal Auto,Four-Door Car,460
ZU18643,Nevada,M,Bachelor,366077,64495,92,0,Corporate Auto,Four-Door Car,251
AZ82578,California,F,College,792882,0,72,0,Corporate Auto,Four-Door Car,345
XC67861,Arizona,F,Bachelor,501175,28859,67,3,Corporate Auto,Two-Door Car,321
YC43143,Arizona,F,High School or Below,798825,77330,99,0,Personal Auto,Four-Door Car,99
EK59571,Oregon,M,College,388545,0,105,0,Corporate Auto,Four-Door Car,504
PA38372,Washington,F,High School or Below,935773,33060,117,0,Personal Auto,Four-Door Car,56
RO18530,Washington,M,Master,254068,42557,65,0,Personal Auto,Four-Door Car,57
PD27940,Arizona,M,High School or Below,488516,26372,126,0,Personal Auto,SUV,604
BS77946,Arizona,F,Bachelor,975330,17514,127,0,Personal Auto,SUV,8
YM50253,California,F,Bachelor,294615,89270,74,0,Personal Auto,Four-Door Car,316
NR15332,California,M,High School or Below,258111,29757,65,0,Personal Auto,Four-Door Car,312
RC62865,Oregon,M,College,351738,51814,92,0,Personal Auto,Four-Door Car,56
CC15295,Oregon,F,Bachelor,974335,24028,82,0,Personal Auto,Four-Door Car,393
KA61892,Arizona,M,College,387364,28142,105,0,Personal Auto,Luxury,701
OS94884,Arizona,F,Bachelor,764928,52705,64,1,Personal Auto,Two-Door Car,128
ND87334,California,M,High School or Below,228759,0,63,0,Corporate Auto,Two-Door Car,679
OY51402,Washington,F,High School or Below,825576,54040,103,0,Personal Auto,SUV,59
YL74911,California,F,College,871492,0,118,0,Personal Auto,SUV,566
GK92563,Washington,F,Doctor,681923,22492,85,0,Personal Auto,Two-Door Car,61
HL53154,California,M,Bachelor,741619,0,77,2,Personal Auto,Four-Door Car,554
RI78966,Oregon,M,Master,777115,21876,68,0,Personal Auto,Four-Door Car,465
IC13702,California,F,Bachelor,696834,0,69,1,Personal Auto,Four-Door Car,496
BE10809,California,F,High School or Below,425028,0,61,1,Personal Auto,Four-Door Car,292
HT87217,Oregon,F,High School or Below,1977656,70699,82,0,Personal Auto,Four-Door Car,256
TH95618,California,F,High School or Below,2134346,0,74,1,Personal Auto,Four-Door Car,355
TS19868,California,M,College,241313,27501,63,0,Personal Auto,Four-Door Car,542
LP45550,Oregon,F,Doctor,1536384,15897,101,0,Personal Auto,Four-Door Car,303
QR87004,Nevada,F,College,845696,25141,73,1,Personal Auto,Four-Door Car,25
OE75747,Nevada,F,College,218964,0,61,3,Personal Auto,Four-Door Car,292
DX91392,California,M,High School or Below,578018,51066,74,0,Personal Auto,Four-Door Car,787
AB72731,California,F,Bachelor,463998,28358,117,0,Personal Auto,Luxury,84
GX84338,Washington,F,Doctor,382443,62530,95,0,Personal Auto,Four-Door Car,61
IS12901,Arizona,F,Bachelor,596811,90972,74,0,Personal Auto,Two-Door Car,232
BN90616,Washington,F,Bachelor,859033,63110,72,0,Personal Auto,Four-Door Car,68
HH90090,California,F,Bachelor,407663,29549,104,0,Personal Auto,Luxury,710
IU25463,California,F,Bachelor,1225260,0,115,1,Personal Auto,Four-Door Car,552
KC11055,Nevada,F,Bachelor,1693627,39411,217,2,Personal Auto,Luxury,1122
PD33979,Oregon,M,High School or Below,489243,21709,62,0,Personal Auto,Four-Door Car,408
NK71023,Nevada,M,Bachelor,994230,67890,85,0,Personal Auto,Four-Door Car,408
AB13432,California,M,Bachelor,373583,0,110,0,Personal Auto,SUV,792
OZ97704,California,F,High School or Below,1311752,84311,111,4,Personal Auto,SUV,532
UF46533,California,F,College,457452,99316,114,0,Corporate Auto,SUV,754
XP47431,Arizona,F,Bachelor,547006,54507,138,0,Personal Auto,SUV,702
GK73582,California,F,Bachelor,297884,64586,76,0,Personal Auto,Four-Door Car,206
RV98763,Oregon,M,College,641096,61709,82,2,Personal Auto,Four-Door Car,275
II62831,California,M,Master,447902,94656,111,1,Special Auto,SUV,459
XK33449,California,F,High School or Below,238373,0,69,0,Special Auto,Two-Door Car,496
TR85083,California,M,Bachelor,276449,61085,70,1,Personal Auto,Two-Door Car,336
EO95328,Oregon,F,Bachelor,792010,89284,67,3,Personal Auto,Two-Door Car,321
EN21086,Arizona,F,High School or Below,688909,0,63,0,Personal Auto,Four-Door Car,302
YL83902,Washington,F,Bachelor,327419,31686,81,0,Personal Auto,Four-Door Car,430
AZ62651,Oregon,M,High School or Below,995170,56855,255,0,Corporate Auto,Luxury,1836
ZW25874,Oregon,M,Bachelor,252155,53703,67,2,Special Auto,Four-Door Car,67
EH41854,Washington,F,High School or Below,2370611,0,96,1,Personal Auto,Two-Door Car,844
MW70227,California,M,College,604702,20396,76,1,Personal Auto,Four-Door Car,364
SL22297,California,F,Master,1114030,27679,150,0,Personal Auto,SUV,722
RV14138,Nevada,F,Bachelor,433406,23904,123,3,Personal Auto,SUV,590
UO62808,Arizona,F,High School or Below,279974,65351,69,0,Corporate Auto,Four-Door Car,481
ZX64745,California,M,College,792313,0,113,0,Personal Auto,SUV,1124
FL34139,California,M,High School or Below,368811,0,63,3,Personal Auto,Four-Door Car,669
TS11219,California,M,College,1206745,0,116,0,Personal Auto,SUV,1284
XX12304,California,F,College,292497,64459,72,0,Personal Auto,Four-Door Car,240
SD64087,California,M,College,1501409,32961,190,0,Corporate Auto,SUV,912
OY38576,Oregon,F,High School or Below,927723,71416,116,0,Corporate Auto,SUV,556
BG76355,Washington,F,Bachelor,627412,68964,78,0,Personal Auto,Four-Door Car,115
IP66913,California,M,High School or Below,388664,78108,98,0,Personal Auto,Two-Door Car,470
LE95702,California,M,College,438627,10621,67,0,Special Auto,Four-Door Car,321
KX54357,Washington,M,College,1136526,84910,95,0,Corporate Auto,Two-Door Car,383
EZ78112,California,F,High School or Below,561096,77493,70,0,Special Auto,Four-Door Car,307
XN16891,Arizona,M,College,291289,81097,74,0,Personal Auto,Four-Door Car,355
XK31350,Oregon,F,College,691572,96610,85,0,Corporate Auto,Four-Door Car,520
CC30924,Oregon,M,College,626266,30110,159,0,Corporate Auto,Luxury,466
IT78748,Oregon,F,High School or Below,650339,22081,84,0,Special Auto,Two-Door Car,451
KY33386,Washington,F,High School or Below,800739,0,112,0,Personal Auto,Luxury,537
CO44221,California,M,College,292991,98473,72,0,Personal Auto,Four-Door Car,345
LK60013,Oregon,F,Bachelor,596955,97431,74,0,Personal Auto,Four-Door Car,355
DE21533,California,M,Bachelor,547315,93870,69,0,Personal Auto,Four-Door Car,331
YS94121,Nevada,M,High School or Below,564539,50366,72,0,Personal Auto,Four-Door Car,428
UK68427,Washington,M,High School or Below,636926,34498,83,0,Personal Auto,Two-Door Car,398
TE49565,Oregon,F,College,1183376,16552,103,0,Personal Auto,SUV,494
RA88421,Oregon,F,College,612110,26787,77,0,Personal Auto,Four-Door Car,369
KQ51983,Nevada,M,College,515936,0,74,0,Personal Auto,Two-Door Car,831
CD88896,Nevada,F,High School or Below,251459,43860,65,0,Corporate Auto,Four-Door Car,156
YV22553,Arizona,M,High School or Below,866861,21474,114,2,Corporate Auto,SUV,373
WU14435,California,M,Bachelor,496096,18174,66,0,Corporate Auto,Four-Door Car,395
XV84099,Arizona,F,Bachelor,550413,0,73,0,Corporate Auto,Four-Door Car,350
RI24911,Arizona,M,College,750745,60920,64,0,Personal Auto,Two-Door Car,231
KO26461,Arizona,M,High School or Below,3226985,41520,90,0,Personal Auto,Four-Door Car,289
HI14283,Oregon,F,Bachelor,565703,0,152,0,Personal Auto,SUV,729
PT50227,Arizona,M,High School or Below,506175,0,68,0,Personal Auto,Two-Door Car,326
BH36570,California,M,Bachelor,591278,72208,73,0,Personal Auto,Two-Door Car,350
TX17484,California,F,Bachelor,1518227,53863,63,0,Personal Auto,Four-Door Car,105
CT41158,Washington,M,College,1074703,66446,136,0,Corporate Auto,SUV,639
AO87348,Washington,M,College,205062,0,61,0,Personal Auto,Four-Door Car,292
DE55857,Washington,F,Bachelor,246544,64997,63,1,Personal Auto,Four-Door Car,383
LF66923,Nevada,F,High School or Below,534312,64460,66,0,Corporate Auto,Two-Door Car,316
CN24514,Arizona,F,College,811982,46618,67,0,Personal Auto,Four-Door Car,99
UW32074,Oregon,F,College,460526,0,64,0,Corporate Auto,Four-Door Car,307
HP36979,California,M,College,640878,49988,84,5,Personal Auto,Two-Door Car,566
PP40919,California,F,College,237653,0,91,5,Personal Auto,Two-Door Car,436
RO73268,California,M,Bachelor,321107,16269,86,0,Corporate Auto,Two-Door Car,412
HO61691,Arizona,F,Bachelor,509452,72006,64,0,Personal Auto,Four-Door Car,307
BS13062,Arizona,F,High School or Below,2575527,0,81,2,Personal Auto,Four-Door Car,388
FO35655,Oregon,M,Bachelor,867222,0,245,0,Corporate Auto,Luxury,2345
HR10526,California,M,Master,804473,44320,67,0,Personal Auto,Four-Door Car,321
IA63417,Arizona,F,High School or Below,400151,19782,108,0,Personal Auto,Two-Door Car,773
BH35016,Nevada,F,Bachelor,1670611,63933,70,0,Personal Auto,Two-Door Car,424
PK52952,Arizona,M,Doctor,854441,28224,109,0,Personal Auto,SUV,523
OD76309,Washington,F,College,780531,21073,106,1,Personal Auto,SUV,508
IL28481,Oregon,M,Bachelor,611275,63243,77,0,Personal Auto,Four-Door Car,364
GY55092,Nevada,M,High School or Below,477294,20993,133,0,Personal Auto,SUV,638
UF33451,Oregon,F,Bachelor,1097909,94827,135,0,Personal Auto,SUV,354
CF15558,California,F,Master,500426,39161,63,1,Personal Auto,Two-Door Car,283
JM62924,Washington,M,Bachelor,1322304,37534,84,2,Personal Auto,Four-Door Car,403
EM66435,Oregon,F,Bachelor,262331,80210,65,0,Corporate Auto,Four-Door Car,20
QX45933,California,M,Bachelor,1784019,0,62,0,Personal Auto,Four-Door Car,385
JI71369,California,F,College,510611,30110,64,0,Personal Auto,Four-Door Car,140
JU93290,Arizona,F,College,1793060,21708,68,0,Personal Auto,Four-Door Car,326
GU66096,Arizona,M,High School or Below,545734,94731,67,0,Personal Auto,Four-Door Car,321
UC33108,California,M,Bachelor,656364,32375,83,0,Personal Auto,Four-Door Car,398
